"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.10.2017","547,67","541,59","548,19","541,59","91,06M","1,18%"
"25.10.2017","541,27","543,28","545,25","540,37","81,71M","-0,44%"
"24.10.2017","543,67","544,85","546,71","543,67","84,18M","-0,42%"
"23.10.2017","545,96","545,30","547,36","543,75","74,34M","0,24%"
"20.10.2017","544,63","545,95","546,45","543,82","97,81M","0,01%"
"19.10.2017","544,56","545,87","546,58","541,66","90,76M","-0,57%"
"18.10.2017","547,68","546,81","549,45","546,20","63,93M","0,19%"
"17.10.2017","546,62","547,05","547,78","546,19","64,51M","-0,01%"
"16.10.2017","546,67","547,43","547,79","546,67","62,78M","0,08%"
"13.10.2017","546,21","544,00","547,15","543,85","82,64M","0,62%"
"12.10.2017","542,84","541,69","543,02","541,18","64,24M","0,20%"
"11.10.2017","541,76","541,74","541,80","539,73","77,57M","0,11%"
"10.10.2017","541,14","540,44","542,17","540,22","66,43M","-0,01%"
"09.10.2017","541,19","540,70","542,74","540,32","58,88M","0,24%"
"06.10.2017","539,90","542,38","542,38","539,26","84,88M","-0,55%"
"05.10.2017","542,88","541,11","542,88","540,99","83,45M","0,23%"
"04.10.2017","541,65","542,51","542,51","540,28","83,08M","-0,11%"
"03.10.2017","542,25","541,99","542,25","540,86","63,44M","0,22%"
"02.10.2017","541,04","538,57","541,26","537,79","75,97M","0,74%"
"29.09.2017","537,06","534,39","537,06","534,25","92,30M","0,69%"
"28.09.2017","533,39","531,91","533,39","531,37","79,70M","0,43%"
"27.09.2017","531,09","529,54","531,88","529,39","93,56M","0,49%"
"26.09.2017","528,50","527,16","529,65","527,13","76,26M","0,14%"
"25.09.2017","527,78","527,17","529,75","526,89","73,19M","-0,05%"
"22.09.2017","528,03","527,03","529,28","526,85","83,98M","-0,08%"
"21.09.2017","528,47","530,01","530,75","528,09","95,98M","-0,04%"
"20.09.2017","528,66","528,35","529,24","527,88","64,18M","0,00%"
"19.09.2017","528,66","528,38","529,32","528,03","65,85M","-0,12%"
"18.09.2017","529,31","529,11","530,05","528,20","59,65M","0,48%"
"15.09.2017","526,78","528,33","529,00","526,11","151,74M","-0,48%"
"14.09.2017","529,34","527,86","530,13","527,69","87,04M","0,12%"
"13.09.2017","528,69","525,74","529,76","525,74","76,64M","0,40%"
"12.09.2017","526,58","525,92","527,38","525,18","83,85M","0,50%"
"11.09.2017","523,96","521,60","524,03","521,60","74,68M","0,99%"
"08.09.2017","518,82","517,01","519,51","516,82","73,06M","-0,00%"
"07.09.2017","518,83","517,77","520,04","515,94","78,03M","0,46%"
"06.09.2017","516,47","513,90","517,12","512,82","72,74M","0,20%"
